model,nPedca,config,param,P50_us,P95_us,P99_us,loss_pct
cbr1M,5,EDCA-only,--,1772.5,7252.5,8922.5,3.47
cbr1M,5,mono-DS default,c0_q02_s01,1927.5,7272.5,9232.5,4.37
cbr1M,5,mono-DS best,c0_q04_s03,1777.5,7152.5,8177.5,1.03
cbr1M,5,dual-DS default,c0_q02_s01,2397.5,6102.5,8272.5,2.47
cbr1M,5,dual-DS best,c0_q00_s03,1247.5,2722.5,5282.5,0.29
cbr1M,15,EDCA-only,--,1772.5,7252.5,8922.5,3.47
cbr1M,15,mono-DS default,c0_q02_s01,1937.5,7197.5,9662.5,3.92
cbr1M,15,mono-DS best,c0_q00_s01,1597.5,6472.5,8142.5,1.37
cbr1M,15,dual-DS default,c0_q02_s01,2497.5,6387.5,8897.5,2.76
cbr1M,15,dual-DS best,c0_q00_s03,1282.5,3042.5,6012.5,0.24
cbr1M,30,EDCA-only,--,1772.5,7252.5,8922.5,3.47
cbr1M,30,mono-DS default,c0_q02_s01,1712.5,6832.5,8612.5,2.78
cbr1M,30,mono-DS best,c1_q00_s03,1277.5,5457.5,7777.5,0.45
cbr1M,30,dual-DS default,c0_q02_s01,2592.5,7032.5,10547.5,3.64
cbr1M,30,dual-DS best,c1_q00_s03,1402.5,5412.5,7442.5,0.08
lightload,5,EDCA-only,--,727.5,3512.5,5797.5,0.10
lightload,5,mono-DS default,c0_q02_s01,742.5,3172.5,5127.5,0.07
lightload,5,mono-DS best,c0_q01_s03,752.5,2397.5,4402.5,0.04
lightload,5,dual-DS default,c0_q02_s01,757.5,3092.5,4522.5,0.03
lightload,5,dual-DS best,c0_q01_s03,762.5,2112.5,2927.5,0.01
lightload,15,EDCA-only,--,727.5,3512.5,5797.5,0.10
lightload,15,mono-DS default,c0_q02_s01,742.5,3302.5,5177.5,0.07
lightload,15,mono-DS best,c0_q02_s03,742.5,3312.5,4867.5,0.04
lightload,15,dual-DS default,c0_q02_s01,757.5,3347.5,4837.5,0.04
lightload,15,dual-DS best,c0_q01_s03,892.5,2597.5,4167.5,0.06
lightload,30,EDCA-only,--,727.5,3512.5,5797.5,0.10
lightload,30,mono-DS default,c0_q02_s01,752.5,3567.5,5907.5,0.14
lightload,30,mono-DS best,c0_q03_s02,732.5,3637.5,5492.5,0.08
lightload,30,dual-DS default,c0_q02_s01,792.5,3837.5,6007.5,0.16
lightload,30,dual-DS best,c0_q03_s01,762.5,3782.5,5607.5,0.07
MMPP,5,EDCA-only,--,1512.5,9102.5,13057.5,7.06
MMPP,5,mono-DS default,c0_q02_s01,1402.5,8382.5,12612.5,6.55
MMPP,5,mono-DS best,c0_q02_s02,1522.5,8282.5,12517.5,5.66
MMPP,5,dual-DS default,c0_q02_s01,1522.5,6187.5,10977.5,3.32
MMPP,5,dual-DS best,c0_q01_s03,1332.5,3402.5,6887.5,1.23
MMPP,15,EDCA-only,--,1512.5,9102.5,13057.5,7.06
MMPP,15,mono-DS default,c0_q02_s01,1532.5,8807.5,12942.5,7.01
MMPP,15,mono-DS best,c0_q01_s01,1432.5,8857.5,12742.5,6.82
MMPP,15,dual-DS default,c0_q02_s01,1677.5,7417.5,12612.5,5.73
MMPP,15,dual-DS best,c0_q03_s03,1792.5,7687.5,10477.5,1.79
MMPP,30,EDCA-only,--,1512.5,9102.5,13057.5,7.06
MMPP,30,mono-DS default,c0_q02_s01,1557.5,9087.5,12987.5,8.11
MMPP,30,mono-DS best,c0_q01_s03,1457.5,8722.5,12572.5,7.11
MMPP,30,dual-DS default,c0_q02_s01,1792.5,9132.5,14132.5,8.02
MMPP,30,dual-DS best,c0_q03_s03,2037.5,9002.5,13352.5,4.75
onoff,5,EDCA-only,--,1517.5,8377.5,12882.5,7.85
onoff,5,mono-DS default,c0_q02_s01,1497.5,7542.5,12247.5,6.46
onoff,5,mono-DS best,c0_q01_s03,1472.5,6802.5,12012.5,4.97
onoff,5,dual-DS default,c0_q02_s01,1492.5,4762.5,10982.5,4.36
onoff,5,dual-DS best,c0_q02_s03,1402.5,4097.5,5982.5,1.07
onoff,15,EDCA-only,--,1517.5,8377.5,12882.5,7.85
